country_code,country_name,year,actual,regression_forecast,arima_forecast,regression_abs_error,arima_abs_error,winner
SGP,Singapore,2012,24.409065155807365,24.83892045454545,24.493323277359227,0.42985529873808304,0.08425812155186208,ARIMA
SGP,Singapore,2013,24.015558698727013,24.409065155807365,24.05560601382837,0.3935064570803526,0.04004731510135784,ARIMA
SGP,Singapore,2014,23.58984485190409,23.914896146961887,23.68788939721414,0.32505129505779706,0.09804454531004936,ARIMA
SGP,Singapore,2015,23.23187588152328,23.224817296876775,23.227361611923797,0.007058584646504329,0.004514269599482645,ARIMA
SGP,Singapore,2016,22.969675599435824,23.297373527547848,22.92689544045575,0.32769792811202336,0.04278015898007581,ARIMA
SGP,Singapore,2017,22.626404494382022,22.968018153406106,22.74762173129254,0.3416136590240839,0.12121723691051756,ARIMA
SGP,Singapore,2018,22.3109243697479,22.56695249032391,22.33130015632626,0.25602812057600843,0.020375786578359367,ARIMA
SGP,Singapore,2019,21.997206703910617,22.289428788689275,22.038589667221398,0.29222208477865763,0.04138296331078095,ARIMA
SGP,Singapore,2020,21.685236768802227,22.36283650776458,21.724680865714443,0.6775997389623534,0.03944409691221651,ARIMA
SGP,Singapore,2021,21.434540389972145,22.12600084899187,21.412677678850716,0.6914604590197229,0.0218627111214289,ARIMA
SGP,Singapore,2022,21.18384401114206,21.561536883528916,21.215874348620968,0.3776928723868558,0.03203033747890771,ARIMA
SGP,Singapore,2023,20.93314763231198,20.43780128697872,20.96435853680261,0.4953463453332603,0.031210904490631464,ARIMA
THA,Thailand,2010,39.29025817690697,39.07984106167668,39.27092678931928,0.2104171152302854,0.019331387587683935,ARIMA
THA,Thailand,2011,39.28556049247392,39.29025817690697,39.4828708590796,0.0046976844330473,0.19731036660567725,Regression
THA,Thailand,2012,39.28086280804087,39.28556049247392,39.28160052171303,0.0046976844330473,0.0007377136721586908,ARIMA
THA,Thailand,2013,39.27616512360782,39.28086280804087,39.27689685453629,0.004697684433054405,0.0007317309284715634,ARIMA
THA,Thailand,2014,39.27146743917477,39.27616512360782,39.27219379954669,0.0046976844330473,0.0007263603719209755,ARIMA
THA,Thailand,2015,39.26676975474172,39.27146743917477,39.26749104596408,0.0046976844330473,0.0007212912223550916,ARIMA
THA,Thailand,2016,39.18064554013584,39.26676975474172,39.26278850618931,0.08612421460588138,0.0821429660534676,ARIMA
THA,Thailand,2017,39.11018027364012,39.14381960016548,39.107635531771265,0.0336393265253605,0.0025447418688528955,ARIMA
THA,Thailand,2018,39.0397150071444,39.076528967901275,39.050404795501606,0.0368139607568736,0.010689788357204577,ARIMA
THA,Thailand,2019,38.96924974064867,39.00870645423591,38.97979287712743,0.03945671358724212,0.010543136478759152,ARIMA
