indicator,corr,n
Individuals using the Internet (% of population),0.2654545788389227,6693
"UHC service coverage sub-index on reproductive, maternal, newborn and child health",0.2648911406216965,4752
Adjusted savings: gross savings (% of GNI),0.2629228542970887,7624
Trained teachers in lower secondary education (% of total teachers),0.2608538112373535,1452
Medium and high-tech manufacturing value added (% manufacturing value added),0.2598255273517625,4949
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",0.2593720413232908,1268
Terrestrial and marine protected areas (% of total territorial area),0.25888157382915233,2986
"Hospital beds (per 1,000 people)",0.2584404767945105,5559
"Government expenditure per student, primary (% of GDP per capita)",0.256429158261502,1865
Price level index (Households and NPISHs Final consumption expenditure),0.25231194076035585,5997
"School enrollment, secondary (% gross)",0.2519374120952031,8170
Trained teachers in preprimary education (% of total teachers),0.25145887057043237,1883
"School enrollment, tertiary (% gross)",0.2512815142833053,7258
"Persistence to grade 5, total (% of cohort)",0.2507438220773198,3809
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.24963622924042658,768
Fossil fuel energy consumption (% of total),0.24959157982757738,7439
"Taxes on income, profits and capital gains (% of total taxes)",0.24914340983146183,4535
GDP per capita (current US$),0.24850287792860556,12546
Domestic private health expenditure per capita (current US$),0.24806582179684783,5545
"School enrollment, secondary (% net)",0.24752594780783188,3978
"Tuberculosis case detection rate (%, all forms)",0.24219642644696882,5279
Total debt service (% of GNI),0.23466774692785233,7026
"Life expectancy at birth, total (years)",0.23421295480389914,13805
Exports of goods and services (% of GDP),0.23366188872544036,10134
"Annual freshwater withdrawals, total (% of internal resources)",0.23206574787694978,6529
CPIA gender equality rating (1=low to 6=high),0.23200910506912456,2327
Income share held by lowest 10%,0.22986534376491866,2351
"Immunization, DPT (% of children ages 12-23 months)",0.22661777589237583,9964
"Binding coverage, manufactured products (%)",0.2256641263260531,3300
Short-term debt (% of total external debt),0.2238591986769016,6395
"Charges for the use of intellectual property, receipts (BoP, current US$)",0.22377349972192012,3863
Adjusted savings: natural resources depletion (% of GNI),0.22163139524699788,9594
Domestic general government health expenditure (% of GDP),0.22100097442560493,5548
Diabetes prevalence (% of population ages 20 to 79),0.21959907421351274,507
"Binding coverage, all products (%)",0.21730577160641223,3300
"Gross fixed capital formation, private sector (% of GDP)",0.2168997687908179,3220
Fixed broadband subscriptions (per 100 people),0.21637360920986504,5131
