indicator,corr,n
"Mortality caused by road traffic injury (per 100,000 population)",-0.23903566657911926,4564
"Birth rate, crude (per 1,000 people)",-0.24004977330904587,13805
Proportion of population facing large (but non-impoverishing) out-of-pocket health expenditure (%),-0.24122474996881016,1287
Compensation of employees (% of expense),-0.24143726226170942,5284
"Pupil-teacher ratio, upper secondary",-0.24362536032588955,2709
Prevalence of anemia among non-pregnant women (% of women ages 15-49),-0.24421340833388222,5592
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",-0.2513720247304966,3773
Prevalence of anemia among women of reproductive age (% of women ages 15-49),-0.2517138043312599,5592
Multilateral debt service (% of public and publicly guaranteed debt service),-0.25218850562196826,6220
"Energy imports, net (% of energy use)",-0.2588960152772633,5846
Taxes on goods and services (% of revenue),-0.25938009868178324,5667
Lifetime risk of maternal death (%),-0.26261798427201444,9165
"Tariff rate, most favored nation, simple mean, manufactured products (%)",-0.26406053277056424,3793
Textiles and clothing (% of value added in manufacturing),-0.2647230851684321,5113
"Tariff rate, applied, simple mean, all products (%)",-0.2653871595398018,3771
"Tariff rate, applied, simple mean, manufactured products (%)",-0.26713055226174365,3771
"Age dependency ratio, young (% of working-age population)",-0.2674085225062723,13805
Unmet need for contraception (% of married women ages 15-49),-0.2683911401756223,702
"Tariff rate, most favored nation, simple mean, all products (%)",-0.2712417875529822,3793
Out-of-pocket expenditure (% of current health expenditure),-0.27171352622197303,5565
Average precipitation in depth (mm per year),-0.27227155569940586,8987
Food exports (% of merchandise exports),-0.27698032075691614,9066
"Bound rate, simple mean, all products (%)",-0.2771567057246055,3130
Age dependency ratio (% of working-age population),-0.2847290630248145,13805
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",-0.2865525555021713,9165
People practicing open defecation (% of population),-0.28788618023265367,5996
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",-0.2884839846320588,5038
"Bound rate, simple mean, primary products (%)",-0.2902132597036957,3130
Taxes on international trade (% of revenue),-0.2910504646564669,4924
"Pupil-teacher ratio, secondary",-0.2952894534756489,6296
Unemployment with advanced education (% of total labor force with advanced education),-0.3067755190644421,2704
Gross national expenditure (% of GDP),-0.30686064125616547,7548
"Prevalence of severe wasting, weight for height (% of children under 5)",-0.3144186213396003,1298
"Incidence of malaria (per 1,000 population at risk)",-0.3157501227950552,3452
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",-0.31656223472752026,2844
Electric power transmission and distribution losses (% of output),-0.3238998303212078,7389
Prevalence of anemia among pregnant women (%),-0.3296893841154655,5592
"Mortality rate, neonatal (per 1,000 live births)",-0.3352329922923927,10836
Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%),-0.3386814426297484,1226
"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",-0.34270974693385453,4594
"Pupil-teacher ratio, primary",-0.3436104243621898,8005
Renewable energy consumption (% of total final energy consumption),-0.34929191118697733,8012
"Pupil-teacher ratio, lower secondary",-0.35111901256921857,2860
"Prevalence of wasting, weight for height (% of children under 5)",-0.35624469841667467,1462
Women's share of population ages 15+ living with HIV (%),-0.3585942860337891,6574
Final consumption expenditure (% of GDP),-0.3643055807931148,7732
Gini index,-0.37116829676399304,2351
Prevalence of anemia among children (% of children ages 6-59 months),-0.3714997798440317,4616
Prevalence of severe food insecurity in the population (%),-0.38090340743104456,1100
"Food, beverages and tobacco (% of value added in manufacturing)",-0.39063467477239133,5137
Income share held by highest 20%,-0.3928212921729793,2351
"Share of youth not in education, employment or training, total (% of youth population)",-0.4043745763773783,2788
Income share held by highest 10%,-0.4063160166978664,2351
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.4138402381162019,10253
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",-0.42197462805639396,1374
"Prevalence of underweight, weight for age (% of children under 5)",-0.4308313813317409,1460
Poverty headcount ratio at national poverty lines (% of population),-0.4315028755884104,1120
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-0.4397156227875043,7814
Households and NPISHs final consumption expenditure (% of GDP),-0.4460685226341066,9751
Combustible renewables and waste (% of total energy),-0.4463666086895588,6521
Prevalence of undernourishment (% of population),-0.4481041614029814,4885
Poverty gap at $2.15 a day (2017 PPP) (%),-0.4585158916230387,2924
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",-0.4596309199849002,5086
"Prevalence of stunting, height for age (% of children under 5)",-0.4659286194309787,1113
Prevalence of moderate or severe food insecurity in the population (%),-0.49411437900412136,1109
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.4982804950431718,7814
"Proportion of population further impoverished due to out-of-pocket health expenditure, based on the societal poverty line (%)",-0.5011571155853392,1226
Risk of catastrophic expenditure for surgical care (% of people at risk),-0.5056372589734229,3034
Poverty gap at $4.20 a day (2021 PPP) (%),-0.5212538784516947,2912
Multidimensional poverty headcount ratio (World Bank) (% of population),-0.5225519962227534,1098
"Proportion of population facing impoverishing out-of-pocket health expenditure, based on the societal poverty line (%)",-0.5281136087651125,1287
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),-0.5291213233623223,2924
Proportion of population facing financial hardship due to out-of-pocket health expenditure (%),-0.5537649908944023,1310
Prosperity gap (average shortfall from a prosperity standard of $25/day),-0.5591029084530186,2918
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.5611052173682136,7814
Poverty headcount ratio at societal poverty line (% of population),-0.5697317231850958,2912
"Self-employed, total (% of total employment) (modeled ILO estimate)",-0.5730576676287672,7814
Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),-0.5895322719388636,2924
Poverty gap at $6.85 a day (2017 PPP) (%),-0.6238923749690729,2912
Risk of impoverishing expenditure for surgical care (% of people at risk),-0.6485904645006578,3034
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),-0.6800817310917885,2924
